vUhZCw3aTKk	なぜ脳は、恋人の「過去」にまで嫉妬してしまうのか【進化生物学×脳科学】	NA	NA	1104
6K6x1C2J2mg	なぜ「地方イオン派」VS「都会独身派」論争は終結しないのか【進化心理学×脳科学】	NA	NA	1290
6r0TDzptfOc	なぜ人はGW明けに、会社を辞めたくなるのか【進化心理学×神経科学】	NA	NA	1072
xXQnSQbR4LQ	親の離婚は、子どもの“当たり前”をどう変えるのか【家族心理学×疫学】	NA	NA	1398
FT8w3vMRd7Q	なぜモテたい男ほど“オス性”を捨て、中性化の道を選んだのか【進化心理学×シグナル理論】	NA	NA	994
TFNUrcHq3Ew	20の文献が暴いた、婚活市場の不都合な事実【進化心理学×行動経済学】	NA	NA	1432
cwp_JBHnlsY	なぜ現代人は「何者でもない自分」に耐えられないのか【進化心理学×比較文化学】	NA	NA	1248
4S0BlH9jt9A	なぜ「好き」は、些細な行動ひとつで冷めるのか【脳科学×心理学】	NA	NA	1171
xXjB3nxRqhI	なぜ人は金持ちを性格が悪いと勝手に決めつけるのか【進化心理学】	NA	NA	1106
9rz6XR0z9FY	なぜ夜職の一晩には、会社員の年収以上の価値がつくのか【行動経済学×社会心理学】	NA	NA	1236
pwEz4geoLnA	なぜ人は、売れた“推し”に冷めるのか【社会心理学】	NA	NA	1125
sf7E0ityTTg	なぜ大阪のおばちゃんは、1円を値切るのにタダで飴をくれるのか【行動経済学 ×社会心理学】	NA	NA	1797
GlhT-q-PV-Y	なぜ同じ遺伝子が、性格をここまで分岐させるのか【行動遺伝学】	NA	NA	866
Ffm8pgRKgMU	なぜ「何もできない」ことが、生物最強の武器だったのか【進化生物学】	NA	NA	571
xXzBiNgZijU	なぜサイコパスは欠伸がうつらないのか【脳科学】	NA	NA	1092
GzKtPxIiFLE	なぜ「女は上書き保存、男は名前をつけて保存」するのか？【進化心理学×脳科学】	NA	NA	1074
YApCSi3BFbI	なぜ人は、孤独より“似た地獄”を選ぶのか【脳科学×愛着理論】	NA	NA	1074
4JjnhgD_iOk	なぜ「子を産まない男」の方がデカいのか【進化生物学】	NA	NA	868
Q8oLJyOGIWo	なぜ嫌いな人ほど、あとから強く惹かれるのか【社会心理学】	NA	NA	976
0IbUBIEK0h8	なぜ「勉強しろ」と言われると逆にやりたくなくなるのか？【進化心理学×脳科学】	NA	NA	1015
fAdOCRDVwTI	なぜ人類は全員が「同じもの」を怖がるように進化しなかったのか？【進化心理学】	NA	NA	1346
WgSVwMf1kWI	なぜ同じ音が日本人だけ違って聞こえるのか【脳科学】	NA	NA	709
guVipcrrWYI	なぜ男は体の浮気を、女は心の浮気を嫌うのか？【進化心理学】	NA	NA	927
2hPS0cpLunM	なぜネット恋愛は「モテる人」も不幸にするのか【統計学×進化心理学】	NA	NA	1064
nUMPHQQHq-E	なぜ港区女子はみんな同じ見た目なのか【進化心理学×行動経済学】	NA	NA	1239
3PWz24fVAaI	なぜ4月生まれは人生において有利なのか【統計学】	NA	NA	1067
Y58BrL1aR48	なぜ“正義の味方”より“悪役”の方が魅力的なのか【進化心理学】	NA	NA	1366
LBjTKi-xeU4	なぜ科学的に否定された占いは「当たる」のか【進化心理学】	NA	NA	875
HN_ZNE332c8	なぜいじめっ子ほど出世するのか？【進化心理学】	NA	NA	896
YU2IasEBKVg	なぜ人類は「過去の記憶」を美化するのか【ノスタルジアの正体】	NA	NA	809
PCTUAu3MX2E	なぜ「乗り物酔い」が、胃の中身を吐き出す奇妙な現象を引き起こすのか？【進化生物学】	NA	NA	1068
IGnziS65Idk	なぜ人類は他人の成功に苦痛を感じるように進化したのか【進化心理学】	NA	NA	899
Umfdq7Ku9NA	なぜ希薄な友人関係が、人を不幸にするのか【進化心理学】	NA	NA	1119
GsZsEy1d90o	なぜあなたの脳は、アンチコメントを書きたがるのか【進化心理学】	NA	NA	852
hjJyXAx9DCM	なぜチー牛は全員同じ見た目なのか？【進化心理学】	NA	NA	920
yAhmcL-zYMw	なぜ他人が恥をかくと自分まで苦しいのか？【共感性羞恥の科学】	NA	NA	778
FThWT3FMCFM	なぜ頭がいい人ほど嘘が上手いのか？【生物進化学】	NA	NA	961
JluybLERc_s	なぜ復讐は甘い味がするのか？脳が仕込んだ「矛盾」の正体	NA	NA	1039
Qb-mXt3C_bY	なぜ人類は常に「幸せ」を感じるように進化しなかったのか？【生物進化学】	NA	NA	761
wmrwEe-rdWQ	なぜ選択肢が多いほど不幸になるのか？【データストーリーテリング】	NA	NA	780
KbhlSz3iBbk	なぜヤンキーは全員同じ見た目なのか？【進化生物学】	NA	NA	600
a7PRBSyQULI	なぜ音楽を聴くと鳥肌が立つのか？【データストーリーテリング】	NA	NA	654
tG-BPJ6TBQg	なぜ深夜にスマホを閉じられないのか？【データストーリーテリング】	NA	NA	651
0_oKDXTjkX0	サイコパスはなぜモテる？─100人に1人だけが持つ、“壊れた脳”の圧倒的な優位性	NA	NA	836
